userid,R,F,M,R_SC,F_SC,M_SC
1,0,5,7.18,-0.7859687761791295,-0.3032315235411064,-0.34946190712625275
3,3,8,8.49,-0.2168445457661492,0.5598408808327904,-0.14586691194163845
6,0,2,2.58,-0.7859687761791295,-1.1663039279150031,-1.0643756306752796
7,6,8,10.49,0.3522796846468311,0.5598408808327904,0.16496514177532984
8,4,7,7.09,-0.027136468961822417,0.27215007937482477,-0.36344934954351626
9,1,10,9.03,-0.5962606993748027,1.1352224837487215,-0.06194225743805713
10,0,7,10.06,-0.7859687761791295,0.27215007937482477,0.0981362502261817
11,0,6,6.08,-0.7859687761791295,-0.01554072208314083,-0.5204195366705853
12,4,1,0.86,-0.027136468961822417,-1.4539947293729687,-1.3316911968718725
13,15,4,5.3,2.059652375885772,-0.590922324999072,-0.641644037620203
14,4,2,4.12,-0.027136468961822417,-1.1663039279150031,-0.8250349493132142
15,5,2,2.49,0.16257160784250435,-1.1663039279150031,-1.0783630730925433
16,0,5,5.44,-0.7859687761791295,-0.3032315235411064,-0.6198857938600151
17,3,7,8.81,-0.2168445457661492,0.27215007937482477,-0.09613378334692346
18,0,8,13.03,-0.7859687761791295,0.5598408808327904,0.5597218499958795
19,4,1,0.77,-0.027136468961822417,-1.4539947293729687,-1.345678639289136
20,1,6,7.12,-0.5962606993748027,-0.01554072208314083,-0.3587868687377617
21,2,4,3.66,-0.406552622570476,-0.590922324999072,-0.8965263216681169
22,2,5,8.09,-0.406552622570476,-0.3032315235411064,-0.20803332268503213
23,1,3,3.16,-0.5962606993748027,-0.8786131264570376,-0.9742343350973589
24,3,6,9.82,-0.2168445457661492,-0.01554072208314083,0.06083640378014548
25,8,1,0.5,0.7316958382554847,-1.4539947293729687,-1.3876409665409268
27,3,4,5.17,-0.2168445457661492,-0.590922324999072,-0.6618481211118058
28,1,3,1.85,-0.5962606993748027,-0.8786131264570376,-1.1778293302819731
29,11,1,1.63,1.300820068668465,-1.4539947293729687,-1.2120208561908397
30,3,5,11.14,-0.2168445457661492,-0.3032315235411064,0.2659855592333446
31,1,7,8.67,-0.5962606993748027,0.27215007937482477,-0.11789202710711133
32,4,3,3.84,-0.027136468961822417,-0.8786131264570376,-0.8685514368335897
34,0,1,3.99,-0.7859687761791295,-1.4539947293729687,-0.845239032804817
36,4,5,9.18,-0.027136468961822417,-0.3032315235411064,-0.03862985340928446
37,0,7,7.87,-0.7859687761791295,0.27215007937482477,-0.24222484859389862
38,5,5,8.2,0.16257160784250435,-0.3032315235411064,-0.19093755973059898
39,2,4,3.26,-0.406552622570476,-0.590922324999072,-0.9586927324115105
40,0,2,3.52,-0.7859687761791295,-1.1663039279150031,-0.9182845654283047
41,29,1,0.58,4.715565451146347,-1.4539947293729687,-1.375207684392248
42,2,4,3.87,-0.406552622570476,-0.590922324999072,-0.8638889560278352
43,5,2,0.66,0.16257160784250435,-1.1663039279150031,-1.3627744022435693
44,7,2,3.3,0.5419877614511579,-1.1663039279150031,-0.9524760913371711
45,1,3,5.55,-0.5962606993748027,-0.8786131264570376,-0.6027900309055819
46,4,6,8.14,-0.027136468961822417,-0.01554072208314083,-0.20026252134210784
47,5,6,7.94,0.16257160784250435,-0.01554072208314083,-0.23134572671380468
48,2,1,0.31,-0.406552622570476,-1.4539947293729687,-1.4171700116440387
49,6,4,7.72,0.3522796846468311,-0.590922324999072,-0.2655372526226713
52,1,7,19.1,-0.5962606993748027,0.27215007937482477,1.5030971330268785
53,1,4,6.05,-0.5962606993748027,-0.590922324999072,-0.5250820174763398
55,1,7,9.02,-0.5962606993748027,0.27215007937482477,-0.06349641770664194
56,3,4,3.35,-0.2168445457661492,-0.590922324999072,-0.944705289994247
57,0,3,2.84,-0.7859687761791295,-0.8786131264570376,-1.023967463692074
