bikeid,ride_count(次),total_distance(km),avg_distance(km),total_duration(min),avg_duration(min)
3,1,2.14,2.14,20.0,20.0
6,1,0.38,0.38,4.0,4.0
13,2,0.88,0.44,7.0,3.5
22,1,0.87,0.87,12.0,12.0
25,1,2.01,2.01,21.0,21.0
26,1,3.36,3.36,19.0,19.0
34,2,2.07,1.03,22.0,11.0
38,1,0.45,0.45,3.0,3.0
45,4,8.54,2.13,72.0,18.0
50,1,2.16,2.16,12.0,12.0
71,1,0.72,0.72,8.0,8.0
74,1,2.62,2.62,20.0,20.0
80,1,0.44,0.44,26.0,26.0
82,1,1.14,1.14,10.0,10.0
86,1,0.89,0.89,35.0,35.0
87,1,1.81,1.81,14.0,14.0
88,1,3.07,3.07,25.0,25.0
91,1,3.88,3.88,50.0,50.0
98,2,3.01,1.5,31.0,15.5
105,1,0.59,0.59,5.0,5.0
124,1,0.67,0.67,5.0,5.0
128,1,1.24,1.24,27.0,27.0
131,1,0.35,0.35,1.0,1.0
140,4,5.99,1.5,69.0,17.25
145,1,1.79,1.79,14.0,14.0
146,2,2.41,1.2,17.0,8.5
149,1,0.97,0.97,25.0,25.0
154,1,0.31,0.31,6.0,6.0
156,3,11.6,3.87,78.0,26.0
168,1,2.01,2.01,10.0,10.0
170,2,1.65,0.83,17.0,8.5
173,1,1.97,1.97,16.0,16.0
174,1,0.91,0.91,5.0,5.0
177,1,0.98,0.98,7.0,7.0
182,1,2.98,2.98,27.0,27.0
189,1,1.01,1.01,13.0,13.0
192,1,1.19,1.19,9.0,9.0
195,1,1.1,1.1,9.0,9.0
197,1,0.67,0.67,3.0,3.0
199,1,0.77,0.77,4.0,4.0
201,1,1.82,1.82,15.0,15.0
207,1,1.73,1.73,16.0,16.0
212,1,1.01,1.01,10.0,10.0
215,1,2.05,2.05,30.0,30.0
217,1,2.39,2.39,15.0,15.0
219,1,1.05,1.05,6.0,6.0
228,1,3.17,3.17,26.0,26.0
232,1,0.58,0.58,6.0,6.0
234,1,1.34,1.34,9.0,9.0
237,1,0.74,0.74,4.0,4.0
239,1,0.59,0.59,4.0,4.0
241,2,10.99,5.5,76.0,38.0
244,1,0.56,0.56,6.0,6.0
245,4,5.1,1.27,89.0,22.25
247,1,3.61,3.61,29.0,29.0
248,1,1.28,1.28,11.0,11.0
249,1,0.5,0.5,17.0,17.0
255,1,0.15,0.15,2.0,2.0
257,1,0.22,0.22,3.0,3.0
259,3,7.6,2.53,60.0,20.0
266,1,0.83,0.83,6.0,6.0
277,1,2.58,2.58,20.0,20.0
279,1,1.95,1.95,16.0,16.0
284,1,0.31,0.31,13.0,13.0
287,1,0.58,0.58,3.0,3.0
292,1,0.22,0.22,15.0,15.0
295,1,2.12,2.12,15.0,15.0
297,1,1.38,1.38,20.0,20.0
298,1,2.59,2.59,53.0,53.0
300,1,1.04,1.04,7.0,7.0
305,2,3.55,1.77,28.0,14.0
308,1,0.56,0.56,6.0,6.0
311,1,2.79,2.79,17.0,17.0
312,2,1.35,0.67,12.0,6.0
317,1,2.1,2.1,18.0,18.0
319,1,1.34,1.34,15.0,15.0
321,1,0.44,0.44,5.0,5.0
322,1,0.58,0.58,6.0,6.0
339,1,1.28,1.28,8.0,8.0
342,1,2.45,2.45,17.0,17.0
346,1,0.5,0.5,5.0,5.0
350,1,1.23,1.23,10.0,10.0
355,1,0.83,0.83,12.0,12.0
356,1,1.64,1.64,15.0,15.0
358,1,0.67,0.67,3.0,3.0
359,3,5.32,1.77,59.0,19.67
367,1,1.23,1.23,60.0,60.0
369,1,0.58,0.58,6.0,6.0
370,1,0.4,0.4,4.0,4.0
374,1,0.44,0.44,5.0,5.0
382,2,2.34,1.17,21.0,10.5
384,1,1.55,1.55,12.0,12.0
387,2,1.93,0.96,12.0,6.0
392,2,4.11,2.05,35.0,17.5
394,4,6.89,1.72,100.0,25.0
400,2,4.22,2.11,22.0,11.0
403,1,1.06,1.06,8.0,8.0
404,1,0.67,0.67,9.0,9.0
406,1,0.31,0.31,2.0,2.0
424,1,2.18,2.18,11.0,11.0
425,1,1.11,1.11,20.0,20.0
432,1,1.11,1.11,16.0,16.0
442,1,1.25,1.25,9.0,9.0
449,1,0.67,0.67,5.0,5.0
454,2,5.48,2.74,89.0,44.5
459,1,1.11,1.11,11.0,11.0
462,1,0.44,0.44,7.0,7.0
464,1,1.44,1.44,13.0,13.0
467,1,2.6,2.6,30.0,30.0
468,1,0.59,0.59,6.0,6.0
474,1,1.54,1.54,14.0,14.0
478,1,0.44,0.44,2.0,2.0
480,2,2.42,1.21,15.0,7.5
482,1,1.24,1.24,14.0,14.0
485,2,1.33,0.66,12.0,6.0
