userid,recency(day),frequency(次),total_distance(km),total_duration(min),avg_duration(min),avg_speed(km/h)
1,0,5,7.18,87.0,17.4,5.87
3,3,8,8.49,108.0,13.5,4.81
6,0,2,2.58,29.0,14.5,5.68
7,6,8,10.49,118.0,14.75,5.37
8,4,7,7.09,82.0,11.71,6.01
9,1,10,9.03,91.0,9.1,6.59
10,0,7,10.06,91.0,13.0,6.83
11,0,6,6.08,58.0,9.67,6.56
12,4,1,0.86,5.0,5.0,10.34
13,15,4,5.3,64.0,16.0,5.48
14,4,2,4.12,38.0,19.0,6.57
15,5,2,2.49,72.0,36.0,3.69
16,0,5,5.44,54.0,10.8,6.31
17,3,7,8.81,139.0,19.86,5.25
18,0,8,13.03,201.0,25.12,6.01
19,4,1,0.77,15.0,15.0,3.07
20,1,6,7.12,51.0,8.5,8.78
21,2,4,3.66,109.0,27.25,7.04
22,2,5,8.09,75.0,15.0,7.34
23,1,3,3.16,34.0,11.33,6.38
24,3,6,9.82,121.0,20.17,7.04
25,8,1,0.5,6.0,6.0,5.05
27,3,4,5.17,109.0,27.25,4.4
28,1,3,1.85,25.0,8.33,5.61
29,11,1,1.63,14.0,14.0,6.99
30,3,5,11.14,99.0,19.8,7.03
31,1,7,8.67,90.0,12.86,5.85
32,4,3,3.84,47.0,15.67,5.31
34,0,1,3.99,37.0,37.0,6.47
36,4,5,9.18,93.0,18.6,5.65
37,0,7,7.87,65.0,9.29,7.19
38,5,5,8.2,62.0,12.4,7.08
39,2,4,3.26,42.0,10.5,6.06
40,0,2,3.52,31.0,15.5,6.02
41,29,1,0.58,130.0,130.0,0.27
42,2,4,3.87,40.0,10.0,6.6
43,5,2,0.66,16.0,8.0,2.47
44,7,2,3.3,32.0,16.0,6.25
45,1,3,5.55,55.0,18.33,6.11
46,4,6,8.14,107.0,17.83,5.69
47,5,6,7.94,72.0,12.0,7.24
48,2,1,0.31,4.0,4.0,4.59
49,6,4,7.72,66.0,16.5,7.2
52,1,7,19.1,146.0,20.86,7.17
53,1,4,6.05,86.0,21.5,5.95
55,1,7,9.02,94.0,13.43,6.6
56,3,4,3.35,27.0,6.75,8.13
57,0,3,2.84,28.0,9.33,5.89
58,7,1,4.18,22.0,22.0,11.39
59,2,7,14.19,138.0,19.71,6.36
60,9,2,2.11,31.0,15.5,4.22
61,0,8,8.3,125.0,15.62,6.17
62,1,4,6.9,108.0,27.0,6.28
64,1,6,7.44,116.0,19.33,5.31
65,4,7,10.85,104.0,14.86,7.23
66,12,2,5.44,27.0,13.5,11.86
67,12,6,11.57,98.0,16.33,7.1
68,3,5,8.7,135.0,27.0,4.97
69,1,8,18.77,161.0,20.12,6.92
70,6,1,0.22,103.0,103.0,0.13
71,0,7,6.82,78.0,11.14,6.99
72,0,6,8.66,72.0,12.0,7.54
73,18,2,3.52,31.0,15.5,7.07
74,13,2,2.76,28.0,14.0,5.58
75,22,3,7.28,63.0,21.0,6.43
76,1,9,15.81,335.0,37.22,5.63
77,1,9,8.09,107.0,11.89,7.03
78,4,6,5.96,60.0,10.0,6.48
79,3,9,11.53,111.0,12.33,6.05
80,1,15,31.0,373.0,24.87,5.63
81,0,10,22.44,269.0,26.9,6.52
82,8,10,24.56,242.0,24.2,5.57
83,0,11,22.36,271.0,24.64,6.25
84,0,8,14.84,169.0,21.12,5.93
85,4,11,18.26,184.0,16.73,6.17
86,0,10,18.2,201.0,20.1,5.66
87,21,3,4.96,54.0,18.0,5.15
88,27,1,2.11,16.0,16.0,7.9
89,2,5,10.36,307.0,61.4,3.81
90,0,4,4.43,32.0,8.0,7.87
91,0,11,14.06,132.0,12.0,6.85
92,2,10,10.08,132.0,13.2,4.46
93,21,2,5.82,42.0,21.0,7.57
94,0,7,9.66,83.0,11.86,7.41
95,5,11,10.31,175.0,15.91,5.55
96,8,4,4.07,85.0,21.25,6.51
97,6,4,7.48,66.0,16.5,6.76
98,0,9,20.9,163.0,18.11,7.12
